code_module,code_presentation,id_student,module_presentation_length,boundary_day,total_clicks,active_vle_days,vle_event_count,distinct_vle_sites,first_vle_day,last_vle_day,vle_span_days,early_assessments_submitted,mean_early_score,median_early_score,max_early_score,mean_submission_delay,late_early_submissions,early_assessment_attempts,early_assessments_available,assessment_submission_rate,final_result,feature_boundary_day,at_risk,target_exclusion_reason
AAA,2013J,98094,268,67,1560.0,41.0,203.0,52.0,-10.0,62.0,72.0,2.0,60.5,60.5,62.0,-3.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,100893,268,67,342.0,23.0,114.0,29.0,-9.0,50.0,59.0,2.0,65.5,65.5,68.0,-3.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,101781,268,67,1928.0,44.0,318.0,51.0,-10.0,67.0,77.0,2.0,74.0,74.0,84.0,-2.5,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,102806,268,67,868.0,62.0,294.0,37.0,-10.0,67.0,77.0,2.0,83.0,83.0,86.0,0.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,102952,268,67,487.0,17.0,118.0,31.0,-3.0,52.0,55.0,2.0,73.0,73.0,76.0,-1.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,104476,268,67,1598.0,48.0,353.0,56.0,-10.0,66.0,76.0,2.0,81.5,81.5,85.0,9.5,2.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,106247,268,67,390.0,19.0,108.0,39.0,12.0,65.0,53.0,2.0,66.5,66.5,67.0,11.5,2.0,2.0,2.0,1.0,Withdrawn,67,1,
AAA,2013J,106577,268,67,390.0,17.0,106.0,31.0,-10.0,54.0,64.0,2.0,54.0,54.0,57.0,-0.5,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,110175,268,67,439.0,30.0,160.0,42.0,-10.0,67.0,77.0,2.0,63.5,63.5,66.0,0.0,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,111717,268,67,1059.0,43.0,217.0,49.0,-10.0,67.0,77.0,1.0,80.0,80.0,80.0,-9.0,0.0,1.0,2.0,0.5,Pass,67,0,
AAA,2013J,113295,268,67,1658.0,60.0,394.0,43.0,-9.0,67.0,76.0,2.0,79.0,79.0,81.0,3.5,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,114017,268,67,479.0,20.0,117.0,28.0,-9.0,54.0,63.0,2.0,71.0,71.0,76.0,-1.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,114999,268,67,663.0,41.0,204.0,42.0,-10.0,67.0,77.0,2.0,76.5,76.5,79.0,-1.5,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,116541,268,67,612.0,29.0,135.0,32.0,0.0,64.0,64.0,1.0,76.0,76.0,76.0,0.0,0.0,1.0,2.0,0.5,Pass,67,0,
AAA,2013J,116692,268,67,698.0,40.0,165.0,40.0,-10.0,67.0,77.0,2.0,74.5,74.5,77.0,-5.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,118983,268,67,127.0,11.0,52.0,17.0,-10.0,54.0,64.0,2.0,68.0,68.0,73.0,0.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,123044,268,67,1094.0,48.0,279.0,39.0,-10.0,66.0,76.0,2.0,73.5,73.5,75.0,3.0,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,127582,268,67,541.0,36.0,202.0,34.0,-10.0,67.0,77.0,2.0,67.5,67.5,69.0,7.0,2.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,129955,268,67,769.0,54.0,219.0,43.0,-10.0,67.0,77.0,2.0,83.5,83.5,85.0,-0.5,0.0,2.0,2.0,1.0,Withdrawn,67,1,
AAA,2013J,132976,268,67,157.0,8.0,36.0,14.0,-10.0,30.0,40.0,2.0,64.0,64.0,65.0,-1.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,134143,268,67,949.0,40.0,151.0,41.0,-10.0,66.0,76.0,2.0,85.0,85.0,87.0,-1.0,0.0,2.0,2.0,1.0,Distinction,67,0,
AAA,2013J,135335,268,67,57.0,10.0,25.0,8.0,-10.0,24.0,34.0,,,,,,,,2.0,0.0,Withdrawn,67,1,
AAA,2013J,135400,268,67,267.0,19.0,95.0,28.0,2.0,49.0,47.0,2.0,61.5,61.5,72.0,-2.5,0.0,2.0,2.0,1.0,Withdrawn,67,1,
AAA,2013J,137873,268,67,2104.0,62.0,523.0,42.0,-10.0,67.0,77.0,2.0,76.5,76.5,81.0,-2.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,141355,268,67,802.0,30.0,231.0,36.0,-9.0,67.0,76.0,2.0,75.5,75.5,77.0,0.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,141377,268,67,134.0,7.0,38.0,19.0,3.0,54.0,51.0,1.0,45.0,45.0,45.0,35.0,1.0,1.0,2.0,0.5,Withdrawn,67,1,
AAA,2013J,142326,268,67,585.0,22.0,149.0,34.0,-5.0,67.0,72.0,2.0,70.5,70.5,76.0,4.5,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,144801,268,67,1855.0,62.0,527.0,77.0,-10.0,67.0,77.0,2.0,62.5,62.5,64.0,1.0,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,145130,268,67,275.0,20.0,85.0,30.0,-10.0,62.0,72.0,2.0,56.0,56.0,75.0,0.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,146188,268,67,267.0,16.0,105.0,29.0,-10.0,60.0,70.0,2.0,52.5,52.5,53.0,3.5,1.0,2.0,2.0,1.0,Fail,67,1,
AAA,2013J,147756,268,67,426.0,36.0,131.0,23.0,-10.0,53.0,63.0,2.0,74.5,74.5,77.0,-1.0,0.0,2.0,2.0,1.0,Fail,67,1,
AAA,2013J,147793,268,67,155.0,9.0,41.0,17.0,-9.0,59.0,68.0,1.0,52.0,52.0,52.0,13.0,1.0,1.0,2.0,0.5,Withdrawn,67,1,
AAA,2013J,148993,268,67,1156.0,57.0,333.0,38.0,-10.0,67.0,77.0,2.0,69.0,69.0,70.0,7.5,2.0,2.0,2.0,1.0,Withdrawn,67,1,
AAA,2013J,151358,268,67,40.0,6.0,21.0,7.0,2.0,45.0,43.0,2.0,51.0,51.0,54.0,-2.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,155550,268,67,585.0,28.0,154.0,29.0,-10.0,64.0,74.0,2.0,70.5,70.5,75.0,0.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,155854,268,67,1560.0,66.0,332.0,43.0,-10.0,67.0,77.0,2.0,80.5,80.5,82.0,-1.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,155984,268,67,687.0,28.0,174.0,38.0,-10.0,67.0,77.0,1.0,85.0,85.0,85.0,0.0,0.0,1.0,2.0,0.5,Withdrawn,67,1,
AAA,2013J,157568,268,67,599.0,32.0,148.0,30.0,-9.0,66.0,75.0,2.0,80.0,80.0,81.0,5.5,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,159954,268,67,852.0,45.0,240.0,34.0,-10.0,61.0,71.0,2.0,66.5,66.5,68.0,3.5,1.0,2.0,2.0,1.0,Withdrawn,67,1,
AAA,2013J,164259,268,67,118.0,12.0,51.0,18.0,-10.0,59.0,69.0,2.0,70.0,70.0,82.0,-1.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,167906,268,67,658.0,35.0,201.0,34.0,-10.0,67.0,77.0,2.0,59.0,59.0,60.0,0.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,168936,268,67,317.0,13.0,119.0,26.0,0.0,54.0,54.0,2.0,77.5,77.5,79.0,0.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,172112,268,67,474.0,36.0,192.0,36.0,-10.0,67.0,77.0,1.0,60.0,60.0,60.0,0.0,0.0,1.0,2.0,0.5,Pass,67,0,
AAA,2013J,172797,268,67,299.0,16.0,98.0,31.0,-10.0,65.0,75.0,2.0,57.0,57.0,60.0,-1.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,174782,268,67,2338.0,72.0,546.0,50.0,-10.0,67.0,77.0,2.0,81.0,81.0,83.0,-2.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,175392,268,67,2033.0,67.0,520.0,72.0,-10.0,67.0,77.0,2.0,79.5,79.5,85.0,-2.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,175932,268,67,1331.0,45.0,239.0,34.0,-10.0,65.0,75.0,2.0,74.5,74.5,76.0,1.0,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,175991,268,67,101.0,8.0,26.0,12.0,-7.0,53.0,60.0,1.0,51.0,51.0,51.0,-4.0,0.0,1.0,2.0,0.5,Fail,67,1,
AAA,2013J,180753,268,67,888.0,54.0,315.0,36.0,-10.0,66.0,76.0,2.0,60.0,60.0,61.0,-1.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,181316,268,67,487.0,20.0,145.0,37.0,-10.0,66.0,76.0,1.0,76.0,76.0,76.0,1.0,1.0,1.0,2.0,0.5,Withdrawn,67,1,
AAA,2013J,183096,268,67,980.0,48.0,252.0,45.0,-10.0,67.0,77.0,2.0,55.0,55.0,57.0,1.5,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,183947,268,67,365.0,19.0,142.0,35.0,-3.0,59.0,62.0,2.0,50.0,50.0,67.0,0.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,184271,268,67,680.0,58.0,231.0,47.0,-10.0,67.0,77.0,2.0,63.5,63.5,65.0,-1.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,185439,268,67,427.0,15.0,99.0,36.0,-10.0,39.0,49.0,1.0,74.0,74.0,74.0,5.0,1.0,1.0,2.0,0.5,Fail,67,1,
AAA,2013J,186149,268,67,982.0,38.0,255.0,78.0,-10.0,64.0,74.0,1.0,85.0,85.0,85.0,14.0,1.0,1.0,2.0,0.5,Pass,67,0,
AAA,2013J,187100,268,67,3741.0,76.0,715.0,55.0,-10.0,67.0,77.0,2.0,89.0,89.0,90.0,-2.0,0.0,2.0,2.0,1.0,Distinction,67,0,
AAA,2013J,188278,268,67,1434.0,49.0,393.0,41.0,-10.0,60.0,70.0,1.0,76.0,76.0,76.0,0.0,0.0,1.0,2.0,0.5,Withdrawn,67,1,
AAA,2013J,189879,268,67,711.0,31.0,160.0,41.0,-8.0,67.0,75.0,2.0,80.5,80.5,85.0,3.0,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,192183,268,67,1084.0,58.0,280.0,44.0,-10.0,65.0,75.0,2.0,70.5,70.5,75.0,2.0,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,195262,268,67,763.0,21.0,134.0,43.0,-5.0,67.0,72.0,,,,,,,,2.0,0.0,Withdrawn,67,1,
AAA,2013J,200860,268,67,312.0,33.0,147.0,34.0,-10.0,66.0,76.0,2.0,63.5,63.5,69.0,-1.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,202635,268,67,1062.0,33.0,226.0,37.0,-10.0,63.0,73.0,2.0,69.0,69.0,70.0,8.5,2.0,2.0,2.0,1.0,Withdrawn,67,1,
AAA,2013J,205350,268,67,957.0,46.0,292.0,63.0,-10.0,67.0,77.0,2.0,67.0,67.0,75.0,0.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,205719,268,67,273.0,15.0,79.0,28.0,-1.0,57.0,58.0,2.0,65.0,65.0,67.0,2.0,1.0,2.0,2.0,1.0,Fail,67,1,
AAA,2013J,227499,268,67,1376.0,61.0,362.0,48.0,-10.0,67.0,77.0,2.0,83.5,83.5,84.0,-0.5,0.0,2.0,2.0,1.0,Distinction,67,0,
AAA,2013J,227517,268,67,808.0,34.0,210.0,34.0,-10.0,54.0,64.0,2.0,65.0,65.0,67.0,-0.5,0.0,2.0,2.0,1.0,Fail,67,1,
AAA,2013J,228082,268,67,103.0,14.0,51.0,10.0,-10.0,51.0,61.0,2.0,63.0,63.0,68.0,0.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,228222,268,67,193.0,14.0,77.0,25.0,0.0,61.0,61.0,2.0,58.0,58.0,71.0,3.5,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,229179,268,67,363.0,20.0,90.0,30.0,-6.0,66.0,72.0,2.0,66.0,66.0,68.0,0.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,229361,268,67,385.0,38.0,116.0,22.0,-10.0,65.0,75.0,2.0,78.5,78.5,81.0,-1.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,231554,268,67,986.0,39.0,211.0,33.0,-9.0,62.0,71.0,2.0,71.0,71.0,80.0,0.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,235507,268,67,190.0,21.0,71.0,24.0,-10.0,46.0,56.0,1.0,65.0,65.0,65.0,-1.0,0.0,1.0,2.0,0.5,Withdrawn,67,1,
AAA,2013J,236284,268,67,191.0,14.0,61.0,20.0,16.0,67.0,51.0,2.0,84.5,84.5,85.0,2.0,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,238007,268,67,671.0,52.0,235.0,47.0,-10.0,67.0,77.0,2.0,78.0,78.0,83.0,0.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,240712,268,67,113.0,11.0,47.0,19.0,-9.0,54.0,63.0,2.0,81.5,81.5,82.0,0.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,240884,268,67,219.0,12.0,79.0,28.0,-6.0,65.0,71.0,2.0,64.0,64.0,74.0,-1.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,241649,268,67,948.0,54.0,261.0,45.0,-10.0,67.0,77.0,2.0,75.5,75.5,85.0,-7.5,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,241729,268,67,492.0,30.0,162.0,38.0,-10.0,67.0,77.0,2.0,53.0,53.0,55.0,5.0,1.0,2.0,2.0,1.0,Fail,67,1,
AAA,2013J,242793,268,67,236.0,14.0,88.0,47.0,-10.0,48.0,58.0,2.0,70.5,70.5,75.0,-1.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,246834,268,67,522.0,28.0,156.0,30.0,-10.0,55.0,65.0,2.0,58.0,58.0,60.0,-0.5,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,248270,268,67,1035.0,64.0,293.0,37.0,-10.0,67.0,77.0,2.0,78.0,78.0,79.0,3.5,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,255548,268,67,1559.0,63.0,408.0,43.0,-10.0,66.0,76.0,2.0,79.5,79.5,84.0,3.5,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,256815,268,67,465.0,28.0,122.0,31.0,-10.0,66.0,76.0,2.0,73.0,73.0,75.0,9.0,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,258392,268,67,316.0,22.0,124.0,31.0,-10.0,60.0,70.0,2.0,57.5,57.5,58.0,2.5,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,258894,268,67,1309.0,67.0,383.0,37.0,-10.0,67.0,77.0,2.0,61.5,61.5,65.0,6.5,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,260355,268,67,254.0,23.0,76.0,19.0,-9.0,64.0,73.0,2.0,57.5,57.5,60.0,3.5,2.0,2.0,2.0,1.0,Withdrawn,67,1,
AAA,2013J,262011,268,67,488.0,27.0,148.0,31.0,-7.0,63.0,70.0,2.0,69.5,69.5,79.0,-0.5,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,262934,268,67,1369.0,45.0,343.0,43.0,-10.0,66.0,76.0,2.0,80.5,80.5,81.0,-1.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,268073,268,67,1380.0,39.0,282.0,39.0,-3.0,67.0,70.0,2.0,71.0,71.0,78.0,-2.5,0.0,2.0,2.0,1.0,Fail,67,1,
AAA,2013J,268733,268,67,141.0,7.0,30.0,10.0,-2.0,35.0,37.0,1.0,51.0,51.0,51.0,10.0,1.0,1.0,2.0,0.5,Withdrawn,67,1,
AAA,2013J,271251,268,67,1641.0,50.0,285.0,51.0,-10.0,67.0,77.0,2.0,71.0,71.0,80.0,0.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,277880,268,67,1447.0,40.0,298.0,43.0,-8.0,66.0,74.0,1.0,70.0,70.0,70.0,1.0,1.0,1.0,2.0,0.5,Withdrawn,67,1,
AAA,2013J,279572,268,67,515.0,22.0,127.0,34.0,-10.0,54.0,64.0,2.0,80.5,80.5,82.0,-0.5,0.0,2.0,2.0,1.0,Distinction,67,0,
AAA,2013J,281022,268,67,230.0,22.0,77.0,19.0,-8.0,56.0,64.0,2.0,71.0,71.0,72.0,1.5,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,281250,268,67,100.0,9.0,52.0,19.0,-10.0,40.0,50.0,2.0,60.0,60.0,63.0,-1.5,0.0,2.0,2.0,1.0,Fail,67,1,
AAA,2013J,281589,268,67,54.0,7.0,23.0,9.0,-9.0,37.0,46.0,,,,,,,,2.0,0.0,Fail,67,1,
AAA,2013J,282821,268,67,1236.0,39.0,244.0,40.0,-10.0,67.0,77.0,2.0,57.0,57.0,61.0,4.5,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,286488,268,67,400.0,20.0,100.0,38.0,-7.0,66.0,73.0,2.0,64.0,64.0,73.0,-0.5,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,287548,268,67,304.0,22.0,71.0,29.0,-10.0,67.0,77.0,2.0,69.5,69.5,70.0,0.5,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,290201,268,67,827.0,34.0,210.0,31.0,-8.0,67.0,75.0,2.0,73.5,73.5,78.0,3.0,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,290757,268,67,184.0,11.0,59.0,19.0,-9.0,53.0,62.0,2.0,74.5,74.5,75.0,-1.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,291334,268,67,2238.0,68.0,682.0,58.0,-10.0,67.0,77.0,2.0,84.5,84.5,85.0,2.5,1.0,2.0,2.0,1.0,Distinction,67,0,
AAA,2013J,292923,268,67,,,,,,,,,,,,,,,2.0,0.0,Withdrawn,67,1,
AAA,2013J,293699,268,67,32.0,7.0,23.0,11.0,-1.0,54.0,55.0,1.0,55.0,55.0,55.0,0.0,0.0,1.0,2.0,0.5,Pass,67,0,
AAA,2013J,294570,268,67,725.0,35.0,137.0,36.0,-7.0,65.0,72.0,2.0,77.0,77.0,82.0,-3.5,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,294594,268,67,367.0,32.0,96.0,26.0,0.0,67.0,67.0,2.0,57.0,57.0,61.0,-1.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,295741,268,67,468.0,39.0,173.0,35.0,-8.0,64.0,72.0,2.0,45.0,45.0,52.0,-1.0,0.0,2.0,2.0,1.0,Fail,67,1,
AAA,2013J,296332,268,67,813.0,38.0,193.0,53.0,-10.0,67.0,77.0,2.0,93.0,93.0,95.0,-1.5,0.0,2.0,2.0,1.0,Distinction,67,0,
AAA,2013J,298696,268,67,306.0,27.0,102.0,26.0,-10.0,63.0,73.0,1.0,77.0,77.0,77.0,0.0,0.0,1.0,2.0,0.5,Pass,67,0,
AAA,2013J,300398,268,67,824.0,38.0,227.0,32.0,-10.0,67.0,77.0,2.0,81.0,81.0,82.0,-2.5,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,302302,268,67,348.0,15.0,105.0,24.0,-10.0,59.0,69.0,2.0,58.5,58.5,59.0,2.0,1.0,2.0,2.0,1.0,Fail,67,1,
AAA,2013J,305152,268,67,127.0,9.0,34.0,13.0,-8.0,53.0,61.0,1.0,64.0,64.0,64.0,0.0,0.0,1.0,2.0,0.5,Fail,67,1,
AAA,2013J,305386,268,67,735.0,40.0,190.0,50.0,-5.0,67.0,72.0,2.0,75.5,75.5,76.0,0.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,305539,268,67,68.0,6.0,26.0,13.0,-10.0,-5.0,5.0,,,,,,,,2.0,0.0,Withdrawn,67,1,
AAA,2013J,306107,268,67,423.0,30.0,125.0,33.0,1.0,67.0,66.0,2.0,59.5,59.5,73.0,-0.5,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,306466,268,67,580.0,40.0,147.0,37.0,-10.0,66.0,76.0,2.0,79.5,79.5,81.0,-6.5,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,306897,268,67,1615.0,71.0,538.0,59.0,-10.0,67.0,77.0,2.0,72.5,72.5,73.0,-3.5,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,307061,268,67,429.0,33.0,171.0,35.0,-9.0,67.0,76.0,2.0,79.0,79.0,82.0,0.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,307866,268,67,674.0,28.0,181.0,44.0,-10.0,64.0,74.0,2.0,49.5,49.5,52.0,0.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,311917,268,67,1015.0,43.0,267.0,52.0,-5.0,65.0,70.0,2.0,50.5,50.5,55.0,-2.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,312537,268,67,5931.0,78.0,653.0,57.0,-10.0,67.0,77.0,2.0,89.0,89.0,90.0,0.0,0.0,2.0,2.0,1.0,Distinction,67,0,
AAA,2013J,312782,268,67,185.0,19.0,58.0,20.0,-10.0,67.0,77.0,2.0,71.5,71.5,89.0,-1.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,318933,268,67,643.0,46.0,223.0,35.0,-10.0,67.0,77.0,2.0,66.5,66.5,70.0,-2.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,319047,268,67,1627.0,62.0,490.0,47.0,-10.0,66.0,76.0,2.0,76.0,76.0,77.0,3.5,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,321942,268,67,4573.0,73.0,826.0,61.0,-10.0,67.0,77.0,2.0,81.0,81.0,82.0,-1.5,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,324002,268,67,938.0,47.0,265.0,39.0,-9.0,66.0,75.0,2.0,77.0,77.0,85.0,-0.5,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,324084,268,67,660.0,35.0,153.0,32.0,-10.0,63.0,73.0,2.0,46.5,46.5,58.0,1.0,1.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,324282,268,67,75.0,14.0,36.0,16.0,-10.0,67.0,77.0,2.0,48.0,48.0,58.0,-1.0,0.0,2.0,2.0,1.0,Pass,67,0,
AAA,2013J,331358,268,67,2376.0,45.0,527.0,109.0,-10.0,52.0,62.0,1.0,84.0,84.0,84.0,-1.0,0.0,1.0,2.0,0.5,Withdrawn,67,1,
